Mints and references;Present day locality;Palm-tree evidence period barycenter;Palm-tree evidence period;Palm groves;Coinages;Date remains;Inflorescence;Leaves;Stems and charcoal;Pollen;Phytoliths;Texts and maps;Pottery;Wood paintings, papyri and scrolls;Jewelry, gold cups and seals;Rock and Wall painting and mosaic;Sculpture (stone, bronze and wood);References;Taxa;Latitude;Longitude;Altitude;a10
Arwad, Tartus, Syria;Arados (Phoenicia) 4, 8,;174 BC;-174;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Arados (Phoenicia) 4, 8,;P dactylifera;34,85611111;35,85833333;6;60
Arwad, Tartus, Syria;Arados (Phoenicia) 4, 8,;169 BC;-169;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Arados (Phoenicia) 4, 8,;P dactylifera;34,85611111;35,85833333;6;60
Arwad, Tartus, Syria;Arados (Phoenicia) 4, 8,;164 BC;-164;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Arados (Phoenicia) 4, 8,;P dactylifera;34,85611111;35,85833333;6;60
Arwad, Tartus, Syria;Arados (Phoenicia) 4, 8,;153 BC;-153;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Arados (Phoenicia) 4, 8,;P dactylifera;34,85611111;35,85833333;6;60
Arwad, Tartus, Syria;Arados (Phoenicia) 4, 8,;147 BC;-147;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Arados (Phoenicia) 4, 8,;P dactylifera;34,85611111;35,85833333;6;60
Arles, France;Arles (Constantinopolis commemorative) 53;330 AD;330;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Arles (Constantinopolis commemorative) 53;P dactylifera;43,66666667;4,62944444;28;280
Ashquelon;Ascalon (Coinage of Hadrian with a date palm tree);120 AD;120;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;31,66861111;34,57416667;46;460
Baesuri, Castro Marim, Algarve, Portugal;Baesuri 65;120 BC;-120;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Baesuri 65;P dactylifera;37,21666667;-7,45000000;23;230
Baesuri, Castro Marim, Algarve, Portugal;Baesuri 65;20 BC;-20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Baesuri 65;P dactylifera;37,21666667;-7,45000000;23;230
Baria, Villaricos, Almería, Spain;Baria5, 38-39, 63, 65;205 BC;-205;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Baria5, 38-39, 63, 65;P dactylifera;37,24750000;-1,77500000;9;90
Baria, Villaricos, Almería, Spain;Baria5, 38-39, 63, 65;100 BC;-100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Baria5, 38-39, 63, 65;P dactylifera;37,24750000;-1,77500000;9;90
Barka, Cyrenaica, Libya;Barka (Cyrenaica) Battids kings;480 BC;-480;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;32,49833333;20,89277778;287;2870
Byblos, Jbeil District, Lebanon;Byblos (Alexander III) 69;325 BC;-325;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Byblos (Alexander III) 69;P dactylifera;34,12361111;35,65111111;5;50
Byblos, Jbeil District, Lebanon;Byblos (Alexander III) 69;300 BC;-300;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Byblos (Alexander III) 69;P dactylifera;34,12361111;35,65111111;5;50
Caesarea;Judaea Caesarea Domitian;90 AD;90;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;32,50277778;34,90555556;26;260
Caesarea Maritima;Judaea Caesarea Maritima Titus;80 AD;80;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;32,50222222;34,89500000;12;120
Caesarea Maritima;Judaea Caesarea Maritima Trajan Decius;250 AD;250;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;32,50222222;34,89500000;12;120
Carné, Tell Quarnum, Tartus, Syria;Carné (Alexander III) 4, 8,;226 BC;-226;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carné (Alexander III) 4, 8,;P dactylifera;34,95527778;35,88111111;40;400
Carné, Tell Quarnum, Tartus, Syria;Carné (Alexander III) 4, 8,;137 BC;-137;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carné (Alexander III) 4, 8,;P dactylifera;34,95527778;35,88111111;40;400
Carthage;Carthage (Roman coinage with a date palm tree behind a wall with gate Elagabalus?;220 AD;220;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Byzantine) 50;582 AD;582;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Byzantine) 50;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Byzantine) 50;602 AD;602;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Byzantine) 50;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Vandals) 62;400 AD;400;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Vandals) 62;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Vandals) 62;440 AD;440;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Vandals) 62;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;390 BC;-390;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;350 BC;-350;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;340 BC;-340;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;320 BC;-320;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;310 BC;-310;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;270 BC;-270;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;264 BC;-264;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;241 BC;-241;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;221 BC;-221;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;210 BC;-210;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;205 BC;-205;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Carthage;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;146 BC;-146;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Carthage (Zeugitana, Qart-Hadašt) 7-8, 30, 75-76;P dactylifera;36,85805556;10,33083333;5;50
Cilicia Hierapolis;Cilicia Hierapolis Kastabala in Turkey Tyche and Palm (Obverse);100 BC;-100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;37,17722222;36,18722222;143;1430
Nimes, France;Colonia Nemesia (Nimes) 54;40 BC;-40;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Colonia Nemesia (Nimes) 54;P dactylifera;43,83611111;4,36111111;82;820
Nimes, France;Colonia Nemesia (Nimes) 54;10 BC;-10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Colonia Nemesia (Nimes) 54;P dactylifera;43,83611111;4,36111111;82;820
Cyrene, Near Shahhat, Jabal al Akhdar, Cyrenaica, Libya;Cyrene (Cyrenaica) 8, 30, 35;321 BC;-321;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Cyrene (Cyrenaica) 8, 30, 35;P dactylifera;32,82500000;21,85805556;512;5120
Cyrene, Near Shahhat, Jabal al Akhdar, Cyrenaica, Libya;Cyrene (Cyrenaica) 8, 30, 35;261 BC;-261;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Cyrene (Cyrenaica) 8, 30, 35;P dactylifera;32,82500000;21,85805556;512;5120
Cyrene, Near Shahhat, Jabal al Akhdar, Cyrenaica, Libya;Cyrene (Cyrenaica) Magas of Kyrene King;270 BC;-270;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Cyrene (Cyrenaica) 8, 30, 35;P dactylifera;32,82500000;21,85805556;512;5120
Cyrene, Near Shahhat, Jabal al Akhdar, Cyrenaica, Libya;Cyrene (Cyrenaica) Magas of Kyrene Governor;285 BC;-285;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Cyrene (Cyrenaica) 8, 30, 35;P dactylifera;32,82500000;21,85805556;512;5120
Dacia, Sarmisegetusa;Dacia Rome Traian;108 AD;108;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;45,51666667;22,78666667;489;4890
Delos;Delos (Cyclades) 8, 30;300 BC;-300;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Delos (Cyclades) 8, 30;P dactylifera;37,39333333;25,27111111;29;290
Delos;Delos (Cyclades) 8, 30;166 BC;-166;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Delos (Cyclades) 8, 30;P dactylifera;37,39333333;25,27111111;29;290
Diocaesareia, Tzippori, six km of Nazareth, Israel;Diocaesareia-Sepphoris (Galilaea) (Judaea s,l,) 8, 47-48;98 AD;98;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Diocaesareia-Sepphoris (Galilaea) (Judaea s,l,) 8, 47-48;P dactylifera;32,75277778;35,27944444;189;1890
Diocaesareia, Tzippori, six km of Nazareth, Israel;Diocaesareia-Sepphoris (Galilaea) (Judaea s,l,) 8, 47-48;117 AD;117;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Diocaesareia-Sepphoris (Galilaea) (Judaea s,l,) 8, 47-48;P dactylifera;32,75277778;35,27944444;189;1890
Ibiza, Balearic Islands, Spain;Ebusus  65;200 BC;-200;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ebusus  65;P dactylifera;38,98027778;1,48861111;15;150
Ibiza, Balearic Islands, Spain;Ebusus  65;100 BC;-100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ebusus  65;P dactylifera;38,98027778;1,48861111;15;150
Alexandria, Egypt;Egypt 7;150 AD;150;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Egypt 7;P dactylifera;31,20000000;29,91666667;2;20
Ephesos, Selçuk, ?zmir, Turkey;Ephesos (Ionia) 3, 8, 26 Three km SW of Selçuk;394 BC;-394;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ephesos (Ionia) 3, 8, 26;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;"Ephesos (Ionia) Class A tetradrachms with forepart of stag; behind a palm tree and magistrate's name";387 BC;-387;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Head 1880;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;"Ephesos (Ionia) Class A tetradrachms with forepart of stag; behind a palm tree and magistrate's name";301 BC;-301;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Head 1880;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;"Ephesos (Ionia) Class B Attic Octobols with forepart of stag; behind a palm tree and magistrate's name";295 BC;-295;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Head 1880;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;"Ephesos (Ionia) Period VIII Class A Attic Octobols with forepart of stag; behind a palm tree and magistrate's name";280 BC;-280;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Head 1880;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;"Ephesos (Ionia) Period VIII Class A Attic Octobols with forepart of stag; behind a palm tree and magistrate's name";258 BC;-258;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Head 1880;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;Ephesos (Ionia) Period X Class A Attic Drachms, stag standing right before a palm-tree in front magistrate's name;202 BC;-202;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Head 1880;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;Ephesos (Ionia) Period X Class A Attic Drachms, stag standing right before a palm-tree in front magistrate's name;150 BC;-150;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Head 1880;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;Ephesos (Ionia) 3, 8, 26 Three km SW of Selçuk;133 BC;-133;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ephesos (Ionia) 3, 8, 26;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;Ephesos (Ionia) Shield and palm Titus;80 AD;80;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ephesos (Ionia) 3, 8, 26;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;Ephesos (Ionia) Shield and palm Severus Alexander;230 AD;230;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ephesos (Ionia) 3, 8, 26;P dactylifera;37,94111111;27,34194444;14;140
Ephesos, Selçuk, ?zmir, Turkey;Ephesos (Ionia) Shield and palm Maximinus Thrax;236 AD;236;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ephesos (Ionia) 3, 8, 26;P dactylifera;37,94111111;27,34194444;14;140
Gaza, Gaza Strip, Palestine;Gaza 55;375 BC;-375;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Gaza 55;P dactylifera;31,51666667;34,45000000;40;400
Gaza, Gaza Strip, Palestine;Gaza 55;333 BC;-333;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Gaza 55;P dactylifera;31,51666667;34,45000000;40;400
Gentinos, Tevfikiye, Çanakkale, Turkey;Gentinos  1, 8, 25;350 BC;-350;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Gentinos  1, 8, 25;P theophrasti;39,95750000;26,23888889;45;450
Gentinos, Tevfikiye, Çanakkale, Turkey;Gentinos  1, 8, 25;300 BC;-300;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Gentinos  1, 8, 25;P theophrasti;39,95750000;26,23888889;45;450
Halieis, Porto Cheli, village in the municipality of Kranidi, Argolis, Greece;Halieis (Argolis) 8, 27;360 BC;-360;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Halieis (Argolis) 8, 27;P theophrasti;37,32500000;23,14194444;8;80
Halieis, Porto Cheli, village in the municipality of Kranidi, Argolis, Greece;Halieis (Argolis) 8, 27;340 BC;-340;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Halieis (Argolis) 8, 27;P theophrasti;37,32500000;23,14194444;8;80
Zafar;Dhafar in Himyar, ancient kingdom of Yemen, silver coins with stylized palms;10 BC;-10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Hierapytna (Crete) 8, 29-30;P theophrasti;14,21138889;44,40861111;2739;27390
Ierapetra, Crete;Hierapytna (Crete) 8, 29-30 Palm-tree with eagle at its foot AR Stater 12 gr Head of Zeus;302 BC;-302;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Hierapytna (Crete) 8, 29-30;P theophrasti;35,00388889;25,73722222;6;60
Ierapetra, Crete;Hierapytna (Crete) 8, 29-30;286 BC;-286;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Hierapytna (Crete) 8, 29-30;P theophrasti;35,00388889;25,73722222;6;60
Ierapetra, Crete;Hierapytna (Crete) 8, 29-30 Palm-tree with eagle AR Spread tetradr 230 gr AR Didr, 116 gr, AR Dr 57 gr Female head turreted;267 BC;-267;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Hierapytna (Crete) 8, 29-30;P theophrasti;35,00388889;25,73722222;6;60
Ierapetra, Crete;Hierapytna (Crete) 8, 29-30 Palm-tree with eagle AR Spread tetradr 230 gr AR Didr, 116 gr, AR Dr 57 gr Female head turreted;200 BC;-200;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Hierapytna (Crete) 8, 29-30;P theophrasti;35,00388889;25,73722222;6;60
Ierapetra, Crete;Hierapytna (Crete) 8, 29-30 Palm-tree with eagle IERAPY  AE 75 Female head turreted;200 BC;-200;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Hierapytna (Crete) 8, 29-30;P theophrasti;35,00388889;25,73722222;6;60
Ios, Cyclades, Greece;Ios (Cyclades) 8, 30;300 BC;-300;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ios (Cyclades) 8, 30;P dactylifera;36,71666667;25,33333333;5;50
Ios, Cyclades, Greece;Ios (Cyclades) 8, 30;166 BC;-166;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ios (Cyclades) 8, 30;P dactylifera;36,71666667;25,33333333;5;50
Israel;Judaea (Herod Antipas);0 AD;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Coins;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (Roman administration) 56 Coponius;6 AD;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Roman administration) 56;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (Roman administration) 56 Marcus Ambivulus;11 AD;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Roman administration) 56;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (Roman administration) 56 Pontius Pilate;31 AD;31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Roman administration) 56;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (Roman administration) 56;135 AD;135;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Roman administration) 56;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea Herod Agrippa I imitation of Tyre palms;43 AD;43;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Roman administration) 57;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea Marcus Antonius Felix procurator of Judaea;56 AD;56;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Roman administration) 58;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea Titus;80 AD;80;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Roman administration) 58;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (First Revolt) 8;66 AD;66;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (First Revolt) 8;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (First Revolt) 8;70 AD;70;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (First Revolt) 8;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (Second Revolt) 8;132 AD;132;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Second Revolt) 8;P dactylifera;32,50000000;34,90000000;100;1000
Israel;Judaea (Second Revolt) 8;135 AD;135;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Judaea (Second Revolt) 8;P dactylifera;32,50000000;34,90000000;100;1000
Karystos, Euboia, Greece;Karystos (Carystus) (Euboea) 5-7;485 BC;-485;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Karystos (Carystus) (Euboea) 5-7;P theophrasti;38,01361111;24,42055556;5;50
Karystos, Euboia, Greece;Karystos (Carystus) (Euboea) 5-7;360 BC;-360;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Karystos (Carystus) (Euboea) 5-7;P theophrasti;38,01361111;24,42055556;5;50
Kolophon;Kolophon Dichalkon with palm tree 15 mm Groupu E of period IV 350-330 BC samples 145 and 146;340 BC;-340;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Milne 1941;P dactylifera;38,10888889;27,14166667;234;2340
Laelia, Cerro de la Cabeza, Sanlúcar la Mayor, Seville, Spain;Laelia 57, 64-65;50 BC;-50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Laelia 57, 64-65;P dactylifera;37,38361111;-6,20555556;90;900
Laelia, Cerro de la Cabeza, Sanlúcar la Mayor, Seville, Spain;Laelia 57, 64-65;20 BC;-20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Laelia 57, 64-65;P dactylifera;37,38361111;-6,20555556;90;900
Lyons, France;Lugdunum  58;71 AD;71;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Lugdunum  58;P dactylifera;45,76527778;4,83500000;264;2640
Lyons, France;Lugdunum  58;268 AD;268;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Lugdunum  58;P dactylifera;45,76527778;4,83500000;264;2640
Amrit, six km from Tartus, Syria;Marathus (Phoenicia) 8, 30;229 BC;-229;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Marathus (Phoenicia) 8, 30;P dactylifera;34,83000000;35,90000000;75;750
Tangier, Morocco;Mauretania (Ptolemy) 33;23 AD;23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Mauretania (Ptolemy) 33;P dactylifera;35,75972222;-5,83444444;10;100
Tangier, Morocco;Mauretania (Ptolemy) 33;40 AD;40;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Mauretania (Ptolemy) 33;P dactylifera;35,75972222;-5,83444444;10;100
Mozia (San Pantaleo Island, Sicily, Italy);Motya (Sicily) 8-12, 17-20;420 BC;-420;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Motya (Sicily) 8-12, 17-20;P dactylifera;37,86833333;12,46861111;3;30
Mozia (San Pantaleo Island, Sicily, Italy);Motya (Sicily) 8-12, 17-20;397 BC;-397;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Motya (Sicily) 8-12, 17-20;P dactylifera;37,86833333;12,46861111;3;30
Numidia, Northern Algeria and western Tunisia;Numidia 8, 33;202 BC;-202;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Numidia 8, 33;P dactylifera;36,36750000;6,61194444;300;3000
Numidia, Northern Algeria and western Tunisia;Numidia 8, 33;148 BC;-148;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Numidia 8, 33;P dactylifera;36,36750000;6,61194444;300;3000
Palmyra, Tadmur, Homs Governorate, Syria;Palmyra(Palmyrene, Syria) 8, 42;200 BC;-200;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Palmyra(Palmyrene, Syria) 8, 42;P dactylifera;34,56000000;38,26722222;407;4070
Palmyra, Tadmur, Homs Governorate, Syria;Palmyra(Palmyrene, Syria) 8, 42;100 BC;-100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Palmyra(Palmyrene, Syria) 8, 42;P dactylifera;34,56000000;38,26722222;407;4070
